year,stage,home_team,away_team,home_score,away_score,outcome,winning_team,date
1962,Group 3,Czechoslovakia,Mexico,1,3,A,Mexico,1962-06-07
1962,Group 2,Italy,Switzerland,3,0,H,Italy,1962-06-07
1962,Quarterfinals,Brazil,England,3,1,H,Brazil,1962-06-10
1962,Quarterfinals,Chile,Soviet Union,2,1,H,Chile,1962-06-10
1962,Quarterfinals,Czechoslovakia,Hungary,1,0,H,Czechoslovakia,1962-06-10
1962,Quarterfinals,West Germany,Yugoslavia,0,1,A,Yugoslavia,1962-06-10
1962,Semifinals,Chile,Brazil,2,4,A,Brazil,1962-06-13
1962,Semifinals,Czechoslovakia,Yugoslavia,3,1,H,Czechoslovakia,1962-06-13
1962,Third place,Chile,Yugoslavia,1,0,H,Chile,1962-06-16
1962,Final,Brazil,Czechoslovakia,3,1,H,Brazil,1962-06-17
1966,Group 1,England,Uruguay,0,0,D,Tied,1966-07-11
1966,Group 3,Brazil,Bulgaria,2,0,H,Brazil,1966-07-12
1966,Group 2,West Germany,Switzerland,5,0,H,West Germany,1966-07-12
1966,Group 4,North Korea,Soviet Union,0,3,A,Soviet Union,1966-07-12
1966,Group 2,Argentina,Spain,2,1,H,Argentina,1966-07-13
1966,Group 4,Chile,Italy,0,2,A,Italy,1966-07-13
1966,Group 1,France,Mexico,1,1,D,Tied,1966-07-13
1966,Group 3,Hungary,Portugal,1,3,A,Portugal,1966-07-13
1966,Group 3,Brazil,Hungary,1,3,A,Hungary,1966-07-15
1966,Group 4,Chile,North Korea,1,1,D,Tied,1966-07-15
1966,Group 1,France,Uruguay,1,2,A,Uruguay,1966-07-15
1966,Group 2,Spain,Switzerland,2,1,H,Spain,1966-07-15
1966,Group 2,Argentina,West Germany,0,0,D,Tied,1966-07-16
1966,Group 3,Bulgaria,Portugal,0,3,A,Portugal,1966-07-16
1966,Group 1,England,Mexico,2,0,H,England,1966-07-16
1966,Group 4,Italy,Soviet Union,0,1,A,Soviet Union,1966-07-16
1966,Group 2,Argentina,Switzerland,2,0,H,Argentina,1966-07-19
1966,Group 3,Brazil,Portugal,1,3,A,Portugal,1966-07-19
1966,Group 4,Italy,North Korea,0,1,A,North Korea,1966-07-19
1966,Group 1,Mexico,Uruguay,0,0,D,Tied,1966-07-19
1966,Group 3,Bulgaria,Hungary,1,3,A,Hungary,1966-07-20
1966,Group 4,Chile,Soviet Union,1,2,A,Soviet Union,1966-07-20
1966,Group 1,England,France,2,0,H,England,1966-07-20
1966,Group 2,West Germany,Spain,2,1,H,West Germany,1966-07-20
1966,Quarterfinals,England,Argentina,1,0,H,England,1966-07-23
1966,Quarterfinals,West Germany,Uruguay,4,0,H,West Germany,1966-07-23
1966,Quarterfinals,Hungary,Soviet Union,1,2,A,Soviet Union,1966-07-23
1966,Quarterfinals,North Korea,Portugal,3,5,A,Portugal,1966-07-23
